"strain","Average","Home","Away"
"01N2S3","1","1","1"
"01N3S3","0.322916666666667","0.244444444444444","0.4"
"01N5S4","0.322916666666667","0.244444444444444","0.4"
"03N1S1","0.395833333333333","0.311111111111111","0.48"
"03N2S5","0.3125","0.266666666666667","0.36"
"03N3S2","1","1","1"
"03N3S4","0.297872340425532","0.222222222222222","0.375"
"03N5S2","0.287234042553192","0.2","0.375"
"05N2S5","1","1","1"
"05N3S3","1","1","1"
"16N5S4","1","1","1"
"01P3S1","0.340425531914894","0.395833333333333","0.288888888888889"
"03P3S5","0.361702127659574","0.354166666666667","0.377777777777778"
"05P3S1","0.291666666666667","0.3","0.288888888888889"
"12P3S4","1","1","1"
"16P3S2","1","1","1"
"19P3S4","1","1","1"
"21P3S4","0.357894736842105","0.448979591836735","0.266666666666667"
"01P4S5","0.308510638297872","0.354166666666667","0.266666666666667"
"01P5S1","0.366666666666667","0.434782608695652","0.27906976744186"
"03P2S4","0.315789473684211","0.36734693877551","0.266666666666667"
"03P5S5","1","1","1"
"05P2S1","0.989583333333333","1","0.977777777777778"
"05P2S2","1","1","1"
"05P4S4","1","1","1"
"05P5S4","0.354166666666667","0.4","0.311111111111111"
"12P2S5","0","0","NaN"
"12P4S2","1","1","1"
"16P5S2","1","1","1"
"19P5S2","1","1","1"
"21P2S4","NaN","NaN","NaN"
"21P4S2","1","1","1"
"21P4S2","1","1","1"
"21P5S1","0.926315789473684","0.918367346938776","0.933333333333333"
